image_id,x1,y1,x2,y2,x3,y3,x4,y4,x_min,y_min,x_max,y_max
sunhl-1th-02-Jan-2017-162 A AP_0.jpg,0.2096069868995633,0.07407407407407407,0.8296943231441049,0.1111111111111111,0.16593886462882096,0.7777777777777778,0.8078602620087336,0.9074074074074074,0.41456953642384103,0.032,0.7178807947019867,0.05741176470588235
sunhl-1th-02-Jan-2017-162 A AP_1.jpg,0.2,0.0821917808219178,0.8285714285714286,0.1232876712328767,0.16666666666666666,0.6027397260273972,0.7571428571428571,0.9041095890410958,0.40794701986754967,0.07764705882352942,0.686092715231788,0.112
sunhl-1th-02-Jan-2017-162 A AP_2.jpg,0.2222222222222222,0.08139534883720931,0.8309178743961353,0.27906976744186046,0.1642512077294686,0.7790697674418605,0.7874396135265701,0.9069767441860465,0.3973509933774834,0.11811764705882354,0.671523178807947,0.15858823529411764
sunhl-1th-02-Jan-2017-162 A AP_3.jpg,0.25125628140703515,0.08064516129032258,0.8291457286432161,0.14516129032258066,0.1658291457286432,0.7419354838709677,0.8090452261306532,0.9032258064516129,0.3827814569536424,0.16141176470588237,0.6463576158940397,0.19058823529411764
sunhl-1th-02-Jan-2017-162 A AP_4.jpg,0.2231404958677686,0.08080808080808081,0.8305785123966942,0.21212121212121213,0.1652892561983471,0.7373737373737373,0.756198347107438,0.9090909090909091,0.3483443708609272,0.18870588235294117,0.6688741721854304,0.23529411764705882
sunhl-1th-02-Jan-2017-162 A AP_5.jpg,0.21608040201005024,0.07964601769911504,0.8291457286432161,0.23008849557522124,0.1658291457286432,0.7433628318584071,0.7587939698492462,0.911504424778761,0.3456953642384106,0.23294117647058823,0.609271523178808,0.28611764705882353
sunhl-1th-02-Jan-2017-162 A AP_6.jpg,0.3204633204633205,0.08148148148148149,0.8301158301158301,0.3037037037037037,0.16602316602316602,0.5703703703703704,0.6525096525096525,0.9111111111111111,0.2768211920529801,0.2781176470588235,0.6198675496688741,0.3416470588235294
sunhl-1th-02-Jan-2017-162 A AP_7.jpg,0.32945736434108525,0.08333333333333333,0.8294573643410853,0.3402777777777778,0.16666666666666666,0.6597222222222222,0.7790697674418605,0.9097222222222222,0.1986754966887417,0.32235294117647056,0.5403973509933775,0.3901176470588235
sunhl-1th-02-Jan-2017-162 A AP_8.jpg,0.20689655172413793,0.07692307692307693,0.8314176245210728,0.1794871794871795,0.16475095785440613,0.9145299145299145,0.8160919540229885,0.8290598290598291,0.14834437086092717,0.384,0.49403973509933774,0.4390588235294118
sunhl-1th-02-Jan-2017-162 A AP_9.jpg,0.1649122807017544,0.21794871794871795,0.7298245614035088,0.08333333333333333,0.25263157894736843,0.9102564102564102,0.8315789473684211,0.5897435897435898,0.16158940397350993,0.43576470588235294,0.5390728476821192,0.5091764705882353
sunhl-1th-02-Jan-2017-162 A AP_10.jpg,0.1650485436893204,0.4127906976744186,0.686084142394822,0.08139534883720931,0.2912621359223301,0.9127906976744186,0.8317152103559871,0.5116279069767442,0.20132450331125828,0.48611764705882354,0.6105960264900663,0.5670588235294117
sunhl-1th-02-Jan-2017-162 A AP_11.jpg,0.16608996539792387,0.5317919075144508,0.643598615916955,0.08092485549132948,0.30103806228373703,0.9132947976878613,0.8304498269896193,0.5895953757225434,0.3125827814569536,0.5383529411764706,0.695364238410596,0.619764705882353
sunhl-1th-02-Jan-2017-162 A AP_12.jpg,0.16666666666666666,0.4946236559139785,0.6432748538011696,0.08064516129032258,0.29239766081871343,0.9139784946236559,0.8304093567251462,0.6344086021505376,0.3695364238410596,0.5952941176470589,0.8225165562913908,0.6828235294117647
sunhl-1th-02-Jan-2017-162 A AP_13.jpg,0.16551724137931034,0.21052631578947367,0.7689655172413793,0.08270676691729323,0.2413793103448276,0.9097744360902256,0.8310344827586207,0.7744360902255639,0.4503311258278146,0.6795294117647059,0.8344370860927153,0.7421176470588235
sunhl-1th-02-Jan-2017-162 A AP_14.jpg,0.18947368421052632,0.08088235294117647,0.7684210526315789,0.11764705882352941,0.1649122807017544,0.6838235294117647,0.8315789473684211,0.9117647058823529,0.44503311258278144,0.7548235294117647,0.8225165562913908,0.8188235294117647
sunhl-1th-02-Jan-2017-162 A AP_15.jpg,0.23837209302325582,0.07936507936507936,0.8313953488372093,0.3544973544973545,0.16569767441860464,0.5978835978835979,0.752906976744186,0.9153439153439153,0.352317880794702,0.812235294117647,0.8079470198675497,0.9011764705882352
sunhl-1th-02-Jan-2017-162 A AP_16.jpg,0.1746987951807229,0.07975460122699386,0.8313253012048193,0.4171779141104294,0.16566265060240964,0.7055214723926381,0.7409638554216867,0.9141104294478528,0.3086092715231788,0.8828235294117647,0.7483443708609272,0.9595294117647059
sunhl-1th-02-Jan-2017-162 B AP_0.jpg,0.23247232472324722,0.07865168539325842,0.8302583025830258,0.34831460674157305,0.16605166051660517,0.5842696629213483,0.8044280442804428,0.9101123595505618,0.44712430426716143,0.03257191201353638,0.6985157699443414,0.07021996615905245
sunhl-1th-02-Jan-2017-162 B AP_1.jpg,0.21875,0.08181818181818182,0.8298611111111112,0.4636363636363636,0.16666666666666666,0.5727272727272728,0.8125,0.9090909090909091,0.4230055658627087,0.06895093062605753,0.6901669758812616,0.11548223350253807
sunhl-1th-02-Jan-2017-162 B AP_2.jpg,0.2013888888888889,0.08108108108108109,0.8298611111111112,0.3963963963963964,0.16666666666666666,0.6216216216216216,0.7708333333333334,0.9099099099099099,0.39888682745825604,0.11590524534686972,0.6660482374768089,0.1628595600676819
sunhl-1th-02-Jan-2017-162 B AP_3.jpg,0.26331360946745563,0.08176100628930817,0.8313609467455622,0.3081761006289308,0.16568047337278108,0.6163522012578616,0.7810650887573964,0.9119496855345912,0.32838589981447125,0.16116751269035534,0.6419294990723562,0.22842639593908629
sunhl-1th-02-Jan-2017-162 B AP_4.jpg,0.24033149171270718,0.08148148148148149,0.8314917127071824,0.4222222222222222,0.16574585635359115,0.6074074074074074,0.8176795580110497,0.9111111111111111,0.28385899814471244,0.2153130287648054,0.6196660482374768,0.272419627749577
sunhl-1th-02-Jan-2017-162 B AP_5.jpg,0.2534246575342466,0.07936507936507936,0.8310502283105022,0.42063492063492064,0.16666666666666666,0.5396825396825397,0.7602739726027398,0.9126984126984127,0.22541743970315398,0.2643824027072758,0.6317254174397031,0.3176818950930626
sunhl-1th-02-Jan-2017-162 B AP_6.jpg,0.23529411764705882,0.08280254777070063,0.8316430020283976,0.5222929936305732,0.1663286004056795,0.5987261146496815,0.8012170385395537,0.910828025477707,0.15862708719851576,0.2999153976311337,0.6159554730983302,0.3663282571912014
sunhl-1th-02-Jan-2017-162 B AP_7.jpg,0.17695473251028807,0.08,0.831275720164609,0.4342857142857143,0.16666666666666666,0.8114285714285714,0.8127572016460906,0.9142857142857143,0.14935064935064934,0.3413705583756345,0.6001855287569573,0.41539763113367173
sunhl-1th-02-Jan-2017-162 B AP_8.jpg,0.1663286004056795,0.0945945945945946,0.8073022312373225,0.08108108108108109,0.29006085192697767,0.9121621621621622,0.8316430020283976,0.5337837837837838,0.14656771799628943,0.4183587140439932,0.6038961038961039,0.48096446700507617
sunhl-1th-02-Jan-2017-162 B AP_9.jpg,0.1657142857142857,0.5308641975308642,0.6457142857142857,0.0823045267489712,0.4,0.9135802469135802,0.8314285714285714,0.4403292181069959,0.25139146567717996,0.438663282571912,0.5760667903525046,0.5414551607445008
sunhl-1th-02-Jan-2017-162 B AP_10.jpg,0.16666666666666666,0.575,0.5591397849462365,0.08333333333333333,0.41935483870967744,0.9125,0.8306451612903226,0.3875,0.3525046382189239,0.4877326565143824,0.6975881261595547,0.5892554991539763
sunhl-1th-02-Jan-2017-162 B AP_11.jpg,0.16615384615384615,0.5188679245283019,0.676923076923077,0.08018867924528301,0.2923076923076923,0.9150943396226415,0.8307692307692308,0.41037735849056606,0.4647495361781076,0.5368020304568528,0.7662337662337663,0.6264805414551607
sunhl-1th-02-Jan-2017-162 B AP_12.jpg,0.1656441717791411,0.40229885057471265,0.7331288343558282,0.08045977011494253,0.22392638036809817,0.9137931034482759,0.8312883435582822,0.8448275862068966,0.5333951762523191,0.5968697123519459,0.8358070500927643,0.6704737732656514
sunhl-1th-02-Jan-2017-162 B AP_13.jpg,0.2288135593220339,0.0821917808219178,0.8305084745762712,0.10273972602739725,0.16666666666666666,0.7671232876712328,0.7740112994350282,0.910958904109589,0.5213358070500927,0.6776649746192893,0.849721706864564,0.739424703891709
sunhl-1th-02-Jan-2017-162 B AP_14.jpg,0.29285714285714287,0.07878787878787878,0.830952380952381,0.4484848484848485,0.16666666666666666,0.5757575757575758,0.6904761904761905,0.9151515151515152,0.4313543599257885,0.7449238578680203,0.8209647495361782,0.8147208121827412
sunhl-1th-02-Jan-2017-162 B AP_15.jpg,0.2665036674816626,0.08076923076923077,0.8312958435207825,0.4269230769230769,0.16625916870415647,0.5923076923076923,0.7726161369193154,0.9153846153846154,0.35992578849721707,0.7931472081218274,0.7393320964749536,0.9031302876480541
sunhl-1th-02-Jan-2017-162 B AP_16.jpg,0.21818181818181817,0.08205128205128205,0.8318181818181818,0.4512820512820513,0.16590909090909092,0.7538461538461538,0.8,0.9128205128205128,0.30241187384044527,0.8798646362098139,0.7105751391465677,0.9623519458544839
sunhl-1th-03-Jan-2017-163 A AP_0.jpg,0.1645021645021645,0.06818181818181818,0.8311688311688312,0.13636363636363635,0.1645021645021645,0.8409090909090909,0.8008658008658008,0.9090909090909091,0.22772277227722773,0.02154882154882155,0.6851485148514852,0.05117845117845118
sunhl-1th-03-Jan-2017-163 A AP_1.jpg,0.1658291457286432,0.07317073170731707,0.8291457286432161,0.2926829268292683,0.1708542713567839,0.9024390243902439,0.8040201005025126,0.8780487804878049,0.2495049504950495,0.05858585858585859,0.6435643564356436,0.0861952861952862
sunhl-1th-03-Jan-2017-163 A AP_2.jpg,0.1774193548387097,0.06976744186046512,0.8279569892473119,0.18604651162790697,0.16666666666666666,0.9069767441860465,0.8279569892473119,0.7209302325581395,0.2613861386138614,0.09225589225589226,0.6297029702970297,0.12121212121212122
sunhl-1th-03-Jan-2017-163 A AP_3.jpg,0.18536585365853658,0.07352941176470588,0.8292682926829268,0.17647058823529413,0.16585365853658537,0.7941176470588235,0.8195121951219512,0.9117647058823529,0.22376237623762377,0.1292929292929293,0.6297029702970297,0.1750841750841751
